player_id,player_name,team_id,general_position,mins_played,poss_pct,seq_present,clear,tack,block,drib_past,interc,pressure,team_name,league,clear_90,tack_90,block_90,drib_past_90,interc_90,pressure_90,sequences_p90
3286,Nathan Redmond,56,Wide Midfielder,1314.9299166669,0.4704982517482518,2555,6.0,26.0,27.0,14.0,13.0,245.0,Norwich City,epl,0.41066827452583815,1.7795625229452987,1.8480072353662718,0.9582259738936224,0.8897812614726494,16.768954543138392,174.8762402355861
3286,Nathan Redmond,56,Wing Back,97.2077833333,0.25925925925925924,169,3.0,1.0,2.0,1.0,1.0,19.0,Norwich City,epl,2.7775553637946953,0.9258517879315651,1.8517035758631302,0.9258517879315651,0.9258517879315651,17.59118397069974,156.4689521604345
3286,Nathan Redmond,56,Winger,404.6535333334,0.43738489871086556,760,2.0,5.0,10.0,4.0,1.0,67.0,Norwich City,epl,0.44482498031642137,1.1120624507910535,2.224124901582107,0.8896499606328427,0.22241249015821069,14.901636840600116,169.03349252024012
4807,Cameron Jerome,56,Center Forward,803.7390833335,0.41597177677998715,1505,5.0,5.0,7.0,2.0,1.0,81.0,Norwich City,epl,0.5598831876305297,0.5598831876305297,0.7838364626827417,0.22395327505221188,0.11197663752610594,9.070107639614582,168.52483947678945
4807,Cameron Jerome,56,Wide Midfielder,66.2185333334,0.7044854881266491,115,0.0,0.0,0.0,0.0,2.0,13.0,Norwich City,epl,0.0,0.0,0.0,0.0,2.7182722258997796,17.668769468348568,156.30065298923734
9014,Declan Rudd,56,Goalkeeper,1054.6499833334,0.4244594946600677,2013,3.0,0.0,2.0,0.0,0.0,4.0,Norwich City,epl,0.25600910659157194,0.0,0.17067273772771463,0.0,0.0,0.34134547545542926,171.78211052294478
9452,Gary O''Neil,56,Attacking Midfielder,115.7698,0.3595505617977528,199,2.0,3.0,1.0,1.0,0.0,14.0,Norwich City,epl,1.5548096308363666,2.33221444625455,0.7774048154181833,0.7774048154181833,0.0,10.883667415854566,154.70355826821847
9452,Gary O''Neil,56,Center Midfielder,573.17725,0.4248417721518987,1123,15.0,20.0,15.0,9.0,23.0,122.0,Norwich City,epl,2.355292363749608,3.1403898183328107,2.355292363749608,1.413175418249765,3.6114482910827324,19.156377891830147,176.33288829938732
9452,Gary O''Neil,56,Defensive Midfielder,1197.3619333334,0.40333518621456366,2288,31.0,32.0,29.0,14.0,19.0,229.0,Norwich City,epl,2.3301225154475804,2.405287757881373,2.1797920305799945,1.0523133940731009,1.4281396062420655,17.212840517338577,171.9780746885182
9452,Gary O''Neil,56,Winger,11.25575,0.7628865979381443,16,0.0,0.0,1.0,0.0,0.0,1.0,Norwich City,epl,0.0,0.0,7.99591319992004,0.0,0.0,7.99591319992004,127.93461119872065
9463,Alexander Banor Tettey,56,Center Midfielder,483.49573333340004,0.5064488392089423,935,22.0,11.0,9.0,9.0,9.0,78.0,Norwich City,epl,4.095175745087017,2.0475878725435086,1.6752991684446887,1.6752991684446887,1.6752991684446887,14.519259459853968,174.04496916619823
9463,Alexander Banor Tettey,56,Defensive Midfielder,1437.9023500001,0.4158522370662602,2720,44.0,35.0,22.0,17.0,19.0,248.0,Norwich City,epl,2.7540117727742253,2.1906911828885884,1.3770058863871126,1.0640500031173143,1.1892323564252336,15.522611810181997,170.2480004987703
9528,Steven Naismith,29,Center Forward,31.01965,0.5163043478260869,57,1.0,2.0,1.0,0.0,0.0,7.0,Everton,epl,2.901386701655241,5.802773403310482,2.901386701655241,0.0,0.0,20.309706911586687,165.37904199434874
9528,Steven Naismith,29,Center Midfielder,28.9661,0.5121951219512195,58,0.0,0.0,0.0,0.0,0.0,3.0,Everton,epl,0.0,0.0,0.0,0.0,0.0,9.32124103693628,180.21066004743477
9528,Steven Naismith,29,Wide Midfielder,89.1886166667,0.39466666666666667,150,1.0,3.0,5.0,1.0,0.0,17.0,Everton,epl,1.0090973866803221,3.027292160040967,5.0454869334016115,1.0090973866803221,0.0,17.154655573565478,151.36460800204833
9528,Steven Naismith,29,Winger,148.06761666670002,0.5082393755420642,264,2.0,3.0,5.0,4.0,1.0,35.0,Everton,epl,1.2156608180246442,1.8234912270369665,3.039152045061611,2.4313216360492884,0.6078304090123221,21.274064315431275,160.46722797925304
9528,Steven Naismith,56,Attacking Midfielder,95.1517166667,0.5384615384615384,201,0.0,1.0,2.0,2.0,3.0,17.0,Norwich City,epl,0.0,0.9458578694408051,1.8917157388816102,1.8917157388816102,2.837573608322415,16.079583780493685,190.11743175760182
9528,Steven Naismith,56,Center Forward,25.3798833333,0.5726495726495726,52,0.0,0.0,1.0,0.0,1.0,7.0,Norwich City,epl,0.0,0.0,3.546115591552556,0.0,3.546115591552556,24.822809140867893,184.39801076073292
9528,Steven Naismith,56,Defensive Midfielder,17.8650333333,0.47191011235955055,34,0.0,0.0,1.0,0.0,0.0,2.0,Norwich City,epl,0.0,0.0,5.037773975615378,0.0,0.0,10.075547951230757,171.28431517092287
9578,Jonathan Howson,56,Attacking Midfielder,227.2217166666,0.3864353312302839,397,4.0,5.0,4.0,3.0,1.0,36.0,Norwich City,epl,1.584355603334448,1.9804445041680598,1.584355603334448,1.188266702500836,0.396088900833612,14.259200430010031,157.24729363094394
9578,Jonathan Howson,56,Center Midfielder,1098.6444000002,0.44078190877730933,2148,33.0,28.0,26.0,27.0,23.0,247.0,Norwich City,epl,2.703331487421644,2.2937358075092735,2.1298975355443255,2.2118166715267993,1.8841401275969032,20.234026587671092,175.96230409035425
9578,Jonathan Howson,56,Defensive Midfielder,770.75785,0.46512968299711815,1469,19.0,25.0,20.0,12.0,14.0,186.0,Norwich City,epl,2.218595632856675,2.9192047800745726,2.335363824059658,1.4012182944357947,1.6347546768417607,21.71888356375482,171.53247287718187
9578,Jonathan Howson,56,Wide Midfielder,480.2837166667,0.44772271555428245,876,6.0,15.0,5.0,5.0,5.0,72.0,Norwich City,epl,1.1243354318729506,2.8108385796823767,0.9369461932274589,0.9369461932274589,0.9369461932274589,13.492025182475409,164.1529730534508
9578,Jonathan Howson,56,Winger,191.9274166666,0.5888888888888889,370,2.0,3.0,7.0,4.0,0.0,30.0,Norwich City,epl,0.937854544839108,1.4067818172586621,3.282490906936878,1.875709089678216,0.0,14.06781817258662,173.50309079523498
9930,Ryan Bennett,56,Center Back,1852.2395333334,0.4103928285110415,3517,148.0,21.0,31.0,8.0,28.0,108.0,Norwich City,epl,7.191294516875222,1.020386384151214,1.5062846623184587,0.3887186225337958,1.3605151788682852,5.247701404206243,170.89042443141997
10457,Patrick Bamford,31,Center Forward,97.85678333339999,0.5707236842105263,186,1.0,1.0,2.0,0.0,1.0,16.0,Crystal Palace,epl,0.9197114081848391,0.9197114081848391,1.8394228163696782,0.0,0.9197114081848391,14.715382530957426,171.06632192238007
10457,Patrick Bamford,31,Defensive Midfielder,14.93135,0.6153846153846154,33,0.0,0.0,0.0,0.0,0.0,1.0,Crystal Palace,epl,0.0,0.0,0.0,0.0,0.0,6.027586253084952,198.91034635180344
10457,Patrick Bamford,56,Attacking Midfielder,29.2368333333,0.6422764227642277,60,0.0,0.0,0.0,0.0,1.0,4.0,Norwich City,epl,0.0,0.0,0.0,0.0,3.0783087543715726,12.31323501748629,184.69852526229437
10457,Patrick Bamford,56,Center Forward,97.5889833334,0.4931506849315068,181,0.0,2.0,1.0,3.0,0.0,18.0,Norwich City,epl,0.0,1.8444704909472573,0.9222352454736287,2.766705736420886,0.0,16.600234418525314,166.9245794307268
10499,Ivo Daniel Ferreira Mendonca Pinto,56,Center Back,97.2077833333,0.25925925925925924,169,4.0,4.0,2.0,1.0,3.0,14.0,Norwich City,epl,3.7034071517262603,3.7034071517262603,1.8517035758631302,0.9258517879315651,2.7775553637946953,12.961925031041911,156.4689521604345
10499,Ivo Daniel Ferreira Mendonca Pinto,56,Full Back,776.8443166668001,0.46163477016633875,1607,22.0,15.0,15.0,6.0,25.0,132.0,Norwich City,epl,2.5487732323196632,1.7377999311270431,1.7377999311270431,0.6951199724508172,2.896333218545072,15.29263939391798,186.17629928807722
10967,Robert Brady,56,Full Back,1631.7245333334,0.49941136898755467,3135,54.0,61.0,29.0,30.0,29.0,265.0,Norwich City,epl,2.9784439105488323,3.364538491545903,1.5995346927021505,1.654691061416018,1.5995346927021505,14.616437709174825,172.91521591797388
10967,Robert Brady,56,Wide Midfielder,677.6075666668,0.3941422594142259,1295,12.0,13.0,16.0,10.0,14.0,100.0,Norwich City,epl,1.5938428865436038,1.7266631270889041,2.125123848724805,1.3282024054530033,1.8594833676342044,13.282024054530032,172.00221150616392
10967,Robert Brady,56,Wing Back,193.2631333333,0.2682060390763766,337,6.0,8.0,4.0,5.0,4.0,46.0,Norwich City,epl,2.794118002157817,3.725490669543756,1.862745334771878,2.3284316684648476,1.862745334771878,21.421571349876597,156.93629445453072
10967,Robert Brady,56,Winger,311.1415,0.431651906045437,589,8.0,9.0,9.0,8.0,2.0,53.0,Norwich City,epl,2.3140596802419475,2.6033171402721913,2.6033171402721913,2.3140596802419475,0.5785149200604869,15.330645381602903,170.37264395781338
16932,Youssouf Chafiq Mulumbu Ngangu,56,Attacking Midfielder,8.0740833333,0.16326530612244897,13,0.0,0.0,0.0,0.0,0.0,1.0,Norwich City,epl,0.0,0.0,0.0,0.0,0.0,11.146776207871467,144.90809070232908
16932,Youssouf Chafiq Mulumbu Ngangu,56,Center Midfielder,15.45125,0.2376237623762376,31,1.0,0.0,1.0,1.0,0.0,4.0,Norwich City,epl,5.8247714586198525,0.0,5.8247714586198525,5.8247714586198525,0.0,23.29908583447941,180.56791521721544
16932,Youssouf Chafiq Mulumbu Ngangu,56,Defensive Midfielder,95.43765,0.45686900958466453,191,0.0,5.0,1.0,1.0,3.0,30.0,Norwich City,epl,0.0,4.715120290577146,0.9430240581154292,0.9430240581154292,2.8290721743462877,28.290721743462875,180.11759510004697
21212,Russell Martin,56,Center Back,1741.5349000001,0.454967780608422,3364,124.0,11.0,34.0,11.0,29.0,93.0,Norwich City,epl,6.4081403134667925,0.5684640600656026,1.7570707311118625,0.5684640600656026,1.4986779765365887,4.806105235100095,173.8466452782443
21212,Russell Martin,56,Full Back,1152.0421000001,0.44489346069066865,2201,71.0,29.0,27.0,8.0,20.0,116.0,Norwich City,epl,5.546672296090088,2.265542205445247,2.1092979154145404,0.6249771601228268,1.5624429003070668,9.062168821780988,171.9468411787927
22594,Matt Jarvis,40,Winger,97.83835,0.4,182,0.0,3.0,0.0,0.0,1.0,12.0,West Ham United,epl,0.0,2.7596540620319123,0.0,0.0,0.9198846873439709,11.03861624812765,167.4190130966027
22594,Matt Jarvis,56,Wide Midfielder,278.37615,0.4753623188405797,538,0.0,2.0,2.0,2.0,0.0,23.0,Norwich City,epl,0.0,0.6466071177433843,0.6466071177433843,0.6466071177433843,0.0,7.4359818540489195,173.9373146729704
22594,Matt Jarvis,56,Winger,111.68404999999998,0.3318435754189944,207,6.0,2.0,3.0,2.0,6.0,26.0,Norwich City,epl,4.835068212515575,1.6116894041718581,2.4175341062577873,1.6116894041718581,4.835068212515575,20.951962254234157,166.8098533317873
23635,John Ruddy,56,Goalkeeper,2613.3199500002,0.44945979638479117,5033,6.0,0.0,0.0,2.0,0.0,6.0,Norwich City,epl,0.2066337112682887,0.0,0.0,0.06887790375609623,0.0,0.2066337112682887,173.33124480221616
23663,Dieumerci Mbokani Bezua,56,Attacking Midfielder,122.82185,0.43937575030012005,244,2.0,1.0,0.0,0.0,1.0,15.0,Norwich City,epl,1.465537280215206,0.732768640107603,0.0,0.0,0.732768640107603,10.991529601614046,178.79554818625513
23663,Dieumerci Mbokani Bezua,56,Center Forward,1148.2180000001001,0.5268164897283882,2276,13.0,15.0,11.0,4.0,4.0,100.0,Norwich City,epl,1.018970265228291,1.175734921417259,0.8622056090393232,0.31352931237793574,0.31352931237793574,7.838232809448393,178.39817874304543
23663,Dieumerci Mbokani Bezua,56,Wide Midfielder,51.1336166667,0.5503597122302158,109,1.0,0.0,0.0,0.0,0.0,0.0,Norwich City,epl,1.7600945496705134,0.0,0.0,0.0,0.0,0.0,191.85030591408596
23663,Dieumerci Mbokani Bezua,56,Winger,15.8525666667,0.5033557046979866,23,0.0,0.0,0.0,0.0,0.0,2.0,Norwich City,epl,0.0,0.0,0.0,0.0,0.0,11.354628167444275,130.57822392560917
16295,Dame N''Doye,41,Center Forward,110.1326333334,0.48391608391608393,229,1.0,1.0,3.0,2.0,2.0,15.0,Sunderland,epl,0.8171964773378904,0.8171964773378904,2.451589432013671,1.6343929546757807,1.6343929546757807,12.257947160068355,187.13799331037688
16295,Dame N''Doye,41,Wide Midfielder,390.081,0.4701619778346121,799,6.0,14.0,5.0,4.0,6.0,74.0,Sunderland,epl,1.3843278703653856,3.2300983641858996,1.1536065586378212,0.9228852469102571,1.3843278703653856,17.073377067839754,184.34632807032384
16295,Dame N''Doye,41,Winger,76.73605,0.2934027777777778,143,0.0,0.0,1.0,2.0,1.0,5.0,Sunderland,epl,0.0,0.0,1.1728516127687052,2.3457032255374104,1.1728516127687052,5.8642580638435255,167.71778062592483
18751,Jack Rodwell,41,Attacking Midfielder,15.7271666667,0.5569620253164557,26,0.0,0.0,1.0,0.0,0.0,0.0,Sunderland,epl,0.0,0.0,5.7225819441821,0.0,0.0,0.0,148.7871305487346
18751,Jack Rodwell,41,Center Back,59.22965,0.3161512027491409,98,1.0,2.0,1.0,0.0,0.0,6.0,Sunderland,epl,1.519509232284844,3.039018464569688,1.519509232284844,0.0,0.0,9.117055393709064,148.9119047639147
18751,Jack Rodwell,41,Center Forward,14.3148,0.13725490196078433,21,0.0,0.0,0.0,0.0,0.0,1.0,Sunderland,epl,0.0,0.0,0.0,0.0,0.0,6.287199262301954,132.03118450834103
18751,Jack Rodwell,41,Center Midfielder,799.7905999999,0.4216799091940976,1551,16.0,16.0,7.0,9.0,9.0,122.0,Sunderland,epl,1.8004712733560262,1.8004712733560262,0.7877061820932614,1.0127650912627646,1.0127650912627646,13.728593459339699,174.5331840609498
18751,Jack Rodwell,41,Defensive Midfielder,286.3367833334,0.35263895375992527,569,2.0,3.0,6.0,3.0,3.0,45.0,Sunderland,epl,0.628630376804976,0.942945565207464,1.885891130414928,0.942945565207464,0.942945565207464,14.14418347811196,178.84534220101568
18751,Jack Rodwell,41,Wing Back,76.2388,0.49464285714285716,157,0.0,3.0,2.0,0.0,0.0,14.0,Sunderland,epl,0.0,3.54150380121408,2.3610025341427203,0.0,0.0,16.527017738999042,185.33869893020352
18751,Jack Rodwell,41,Winger,7.7654833333,0.6666666666666666,9,0.0,0.0,0.0,0.0,0.0,1.0,Sunderland,epl,0.0,0.0,0.0,0.0,0.0,11.589748652741468,104.30773787467321
3656,Alex Pritchard,27,Wide Midfielder,75.8566833333,0.37073170731707317,147,0.0,2.0,1.0,1.0,2.0,13.0,West Bromwich Albion,epl,0.0,2.3728957303486875,1.1864478651743438,1.1864478651743438,2.3728957303486875,15.423822247266468,174.40783618062852
